17:56:18 | INFO     | Conectando a Binance...
17:56:19 | INFO     | Conexion Binance establecida.
17:56:19 | INFO     | Conectando a Binance...
17:56:20 | INFO     | Conexion Binance establecida.
17:56:20 | INFO     | Conectando a Binance...
17:56:21 | INFO     | Conexion Binance establecida.
17:56:21 | INFO     | Conectando a Binance...
17:56:22 | INFO     | Conexion Binance establecida.
17:56:22 | INFO     | Conectando a Binance...
17:56:23 | INFO     | Conexion Binance establecida.
18:12:42 | INFO     | Gemini iniciado con 1 API key(s)
18:12:42 | INFO     | 📱 Telegram no configurado (opcional)
18:12:42 | INFO     | Conectando a Binance...
18:12:43 | INFO     | Conexion Binance establecida.
18:12:43 | INFO     | 🤖 Bot iniciado — BTCUSDT | DRY_RUN: True
18:12:43 | INFO     | 🧠 Motor: Gemini | Intervalo: 60s | Confianza mín: 65%
18:12:44 | INFO     | WebSocket activo para BTCUSDT
18:17:50 | INFO     | Gemini iniciado con 1 API key(s)
18:17:50 | INFO     | 📱 Telegram no configurado (opcional)
18:17:50 | INFO     | Conectando a Binance...
18:17:51 | INFO     | Conexion Binance establecida.
18:17:51 | INFO     | 🤖 Bot iniciado — BTCUSDT | DRY_RUN: True
18:17:51 | INFO     | 🧠 Motor: Gemini | Intervalo: 60s | Confianza mín: 65%
18:17:52 | INFO     | WebSocket activo para BTCUSDT
18:18:15 | INFO     | Conectando a Binance...
18:18:16 | INFO     | Conexion Binance establecida.
18:18:17 | INFO     | Conectando a Binance...
18:18:17 | INFO     | Conexion Binance establecida.
18:18:17 | INFO     | Conectando a Binance...
18:18:18 | INFO     | Conexion Binance establecida.
18:18:19 | INFO     | Conectando a Binance...
18:18:19 | INFO     | Conexion Binance establecida.
18:18:20 | INFO     | Conectando a Binance...
18:18:20 | INFO     | Conexion Binance establecida.
18:18:21 | INFO     | Conectando a Binance...
18:18:22 | INFO     | Conexion Binance establecida.
18:18:22 | WARNING  | Key ...8Df81A en cooldown por 65s
18:18:22 | WARNING  | Todas las keys en cooldown. La proxima disponible en 65s
18:18:32 | INFO     | Conectando a Binance...
18:18:33 | INFO     | Conexion Binance establecida.
18:18:33 | INFO     | Conectando a Binance...
18:18:33 | INFO     | Conexion Binance establecida.
18:18:34 | INFO     | Conectando a Binance...
18:18:34 | INFO     | Conexion Binance establecida.
18:18:35 | INFO     | Conectando a Binance...
18:18:35 | INFO     | Conexion Binance establecida.
18:18:36 | INFO     | Conectando a Binance...
18:18:36 | INFO     | Conexion Binance establecida.
18:18:47 | INFO     | Conectando a Binance...
18:18:47 | INFO     | Conexion Binance establecida.
18:18:47 | INFO     | Conectando a Binance...
18:18:48 | INFO     | Conexion Binance establecida.
18:18:48 | INFO     | Conectando a Binance...
18:18:49 | INFO     | Conexion Binance establecida.
18:18:49 | INFO     | Conectando a Binance...
18:18:50 | INFO     | Conexion Binance establecida.
18:18:50 | INFO     | Conectando a Binance...
18:18:51 | INFO     | Conexion Binance establecida.
18:18:51 | INFO     | Conectando a Binance...
18:18:52 | INFO     | Conexion Binance establecida.
18:19:02 | INFO     | Conectando a Binance...
18:19:03 | INFO     | Conexion Binance establecida.
18:19:03 | INFO     | Conectando a Binance...
18:19:04 | INFO     | Conexion Binance establecida.
18:19:04 | INFO     | Conectando a Binance...
18:19:05 | INFO     | Conexion Binance establecida.
18:19:05 | INFO     | Conectando a Binance...
18:19:05 | INFO     | Conexion Binance establecida.
18:19:06 | INFO     | Conectando a Binance...
18:19:06 | INFO     | Conexion Binance establecida.
18:19:17 | INFO     | Conectando a Binance...
18:19:17 | INFO     | Conexion Binance establecida.
18:19:18 | INFO     | Conectando a Binance...
18:19:18 | INFO     | Conexion Binance establecida.
18:19:18 | INFO     | Conectando a Binance...
18:19:19 | INFO     | Conexion Binance establecida.
18:19:20 | INFO     | Conectando a Binance...
18:19:21 | INFO     | Conexion Binance establecida.
18:19:21 | INFO     | Conectando a Binance...
18:19:22 | INFO     | Conexion Binance establecida.
18:19:23 | WARNING  | Todas las keys en cooldown. La proxima disponible en 5s
18:19:32 | INFO     | Conectando a Binance...
18:19:33 | INFO     | Conexion Binance establecida.
18:19:33 | INFO     | Conectando a Binance...
18:19:34 | INFO     | Conexion Binance establecida.
18:19:34 | INFO     | Conectando a Binance...
18:19:34 | INFO     | Conexion Binance establecida.
18:19:35 | INFO     | Conectando a Binance...
18:19:35 | INFO     | Conexion Binance establecida.
18:19:36 | INFO     | Conectando a Binance...
18:19:36 | INFO     | Conexion Binance establecida.
18:19:37 | INFO     | Conectando a Binance...
18:19:37 | INFO     | Conexion Binance establecida.
18:19:48 | INFO     | Conectando a Binance...
